ID,contents,Required_BW,Source,Destinations
2945,3,51,4,10;5
2946,1,69,0,1;5
2947,6,51,9,1;4
2948,9,57,9,10;0
2949,6,75,9,1;4
2950,6,52,9,1;4
2951,3,62,4,10;5
2952,14,64,0,5;7
2953,6,77,9,1;4
2954,1,67,0,1;5
2955,14,60,0,5;7
2956,9,71,9,10;0
2957,1,79,0,1;5
2958,14,80,0,5;7
2959,6,80,9,1;4
2960,12,75,4,1;0
2961,12,72,4,1;0
2962,3,67,4,10;5
2963,14,68,0,5;7
2964,3,58,4,10;5
2965,14,60,0,5;7
2966,6,65,9,1;4
2967,9,59,9,10;0
2968,1,63,0,1;5
2969,12,80,4,1;0
2970,6,63,9,1;4
2971,3,56,4,10;5
2972,14,54,0,5;7
2973,6,59,9,1;4
2974,9,63,9,10;0
2975,3,71,4,10;5
2976,6,51,9,1;4
2977,3,77,4,10;5
2978,6,77,9,1;4
2979,1,77,0,1;5
2980,3,56,4,10;5
2981,9,52,9,10;0
2982,14,75,0,5;7
2983,3,72,4,10;5
2984,9,59,9,10;0
2985,12,52,4,1;0
2986,14,62,0,5;7
2987,1,58,0,1;5
2988,6,80,9,1;4
2989,14,50,0,5;7
2990,1,61,0,1;5
2991,1,52,0,1;5
2992,12,64,4,1;0
2993,12,71,4,1;0
2994,14,70,0,5;7
2995,12,75,4,1;0
2996,1,80,0,1;5
2997,1,77,0,1;5
2998,1,58,0,1;5
2999,12,79,4,1;0
3000,1,78,0,1;5
3001,9,66,9,10;0
3002,6,57,9,1;4
3003,3,59,4,10;5
3004,9,58,9,10;0
3005,3,69,4,10;5
3006,1,58,0,1;5
3007,3,56,4,10;5
3008,6,52,9,1;4
3009,9,51,9,10;0
3010,3,72,4,10;5
3011,6,58,9,1;4
3012,1,63,0,1;5
3013,12,62,4,1;0
3014,9,67,9,10;0
3015,1,59,0,1;5
3016,9,79,9,10;0
3017,12,61,4,1;0
3018,3,80,4,10;5
3019,12,66,4,1;0
3020,9,67,9,10;0
3021,6,67,9,1;4
3022,9,58,9,10;0
3023,12,62,4,1;0
3024,1,67,0,1;5
3025,14,51,0,5;7
3026,12,79,4,1;0
3027,12,80,4,1;0
3028,3,59,4,10;5
3029,9,68,9,10;0
3030,6,73,9,1;4
3031,6,50,9,1;4
3032,3,76,4,10;5
3033,3,70,4,10;5
3034,14,78,0,5;7
3035,6,72,9,1;4
3036,14,71,0,5;7
3037,1,59,0,1;5
3038,1,61,0,1;5
3039,12,60,4,1;0
3040,6,52,9,1;4
3041,6,54,9,1;4
3042,12,73,4,1;0
3043,14,78,0,5;7
3044,12,50,4,1;0
3045,12,62,4,1;0
3046,1,63,0,1;5
3047,14,63,0,5;7
3048,9,76,9,10;0
3049,12,54,4,1;0
3050,9,55,9,10;0
3051,14,64,0,5;7
3052,12,64,4,1;0
3053,6,59,9,1;4
3054,1,72,0,1;5
3055,6,53,9,1;4
3056,14,72,0,5;7
3057,3,68,4,10;5
3058,6,70,9,1;4
3059,12,71,4,1;0
3060,3,63,4,10;5
3061,14,79,0,5;7
3062,3,72,4,10;5
3063,9,52,9,10;0
3064,12,59,4,1;0
3065,1,71,0,1;5
3066,1,62,0,1;5
3067,12,54,4,1;0
3068,9,60,9,10;0
3069,12,50,4,1;0
3070,3,54,4,10;5
3071,6,79,9,1;4
3072,6,57,9,1;4
3073,3,78,4,10;5
3074,14,61,0,5;7
3075,9,70,9,10;0
3076,1,68,0,1;5
3077,9,58,9,10;0
3078,3,70,4,10;5
3079,9,61,9,10;0
3080,12,52,4,1;0
3081,9,69,9,10;0
3082,12,75,4,1;0
3083,12,79,4,1;0
3084,1,51,0,1;5
3085,3,59,4,10;5
3086,3,68,4,10;5
3087,9,71,9,10;0
3088,1,58,0,1;5
3089,3,54,4,10;5
3090,1,71,0,1;5
3091,12,52,4,1;0
3092,3,60,4,10;5
3093,6,80,9,1;4
3094,9,70,9,10;0
3095,9,75,9,10;0
3096,3,70,4,10;5
3097,14,57,0,5;7
3098,9,76,9,10;0
3099,12,74,4,1;0
3100,14,50,0,5;7
3101,3,68,4,10;5
3102,6,59,9,1;4
3103,3,77,4,10;5
3104,6,78,9,1;4
3105,6,55,9,1;4
3106,1,74,0,1;5
3107,6,65,9,1;4
3108,6,71,9,1;4
3109,12,69,4,1;0
3110,1,74,0,1;5
3111,14,65,0,5;7
3112,9,62,9,10;0
3113,1,51,0,1;5
3114,14,65,0,5;7
3115,9,71,9,10;0
3116,14,55,0,5;7
3117,14,60,0,5;7
3118,3,58,4,10;5
3119,14,79,0,5;7
3120,14,78,0,5;7
3121,14,70,0,5;7
3122,1,80,0,1;5
3123,9,77,9,10;0
3124,14,79,0,5;7
3125,9,66,9,10;0
3126,14,76,0,5;7
3127,1,58,0,1;5
3128,1,59,0,1;5
3129,12,74,4,1;0
3130,9,74,9,10;0
3131,1,52,0,1;5
3132,9,61,9,10;0
3133,14,79,0,5;7
3134,1,75,0,1;5
3135,14,77,0,5;7
3136,6,65,9,1;4
3137,3,80,4,10;5
3138,9,55,9,10;0
3139,12,70,4,1;0
3140,14,64,0,5;7
3141,1,58,0,1;5
3142,14,70,0,5;7
3143,9,80,9,10;0
3144,14,73,0,5;7
3145,6,78,9,1;4
3146,3,75,4,10;5
3147,14,51,0,5;7
3148,3,53,4,10;5
3149,3,73,4,10;5
3150,9,60,9,10;0
3151,1,67,0,1;5
3152,6,58,9,1;4
3153,9,58,9,10;0
3154,14,52,0,5;7
3155,9,61,9,10;0
3156,3,78,4,10;5
3157,9,74,9,10;0
3158,9,53,9,10;0
3159,12,70,4,1;0
3160,14,60,0,5;7
3161,6,55,9,1;4
3162,6,55,9,1;4
3163,14,61,0,5;7
3164,6,64,9,1;4
3165,6,74,9,1;4
3166,14,77,0,5;7
3167,14,72,0,5;7
3168,14,79,0,5;7
3169,3,63,4,10;5
3170,14,73,0,5;7
3171,12,72,4,1;0
3172,14,72,0,5;7
3173,6,51,9,1;4
3174,1,77,0,1;5
3175,6,51,9,1;4
3176,3,63,4,10;5
3177,1,62,0,1;5
3178,9,58,9,10;0
3179,3,74,4,10;5
3180,1,60,0,1;5
3181,3,76,4,10;5
3182,1,57,0,1;5
3183,12,66,4,1;0
3184,1,59,0,1;5
3185,3,67,4,10;5
3186,12,73,4,1;0
3187,3,60,4,10;5
3188,6,74,9,1;4
3189,1,54,0,1;5
3190,1,75,0,1;5
3191,6,68,9,1;4
3192,12,58,4,1;0
3193,6,75,9,1;4
3194,12,79,4,1;0
3195,14,60,0,5;7
3196,14,62,0,5;7
3197,6,51,9,1;4
3198,6,53,9,1;4
3199,12,56,4,1;0
3200,12,57,4,1;0
3201,6,50,9,1;4
3202,6,68,9,1;4
3203,1,65,0,1;5
3204,1,78,0,1;5
3205,6,65,9,1;4
3206,14,57,0,5;7
3207,1,63,0,1;5
3208,1,68,0,1;5
3209,3,53,4,10;5
3210,1,54,0,1;5
3211,3,73,4,10;5
3212,9,53,9,10;0
3213,1,74,0,1;5
3214,9,77,9,10;0
3215,14,56,0,5;7
3216,6,57,9,1;4
3217,9,71,9,10;0
3218,1,60,0,1;5
3219,1,59,0,1;5
3220,3,78,4,10;5
3221,12,69,4,1;0
3222,12,54,4,1;0
3223,9,61,9,10;0
3224,6,61,9,1;4
3225,3,79,4,10;5
3226,1,74,0,1;5
3227,3,77,4,10;5
3228,12,56,4,1;0
3229,9,68,9,10;0
3230,6,75,9,1;4
3231,1,67,0,1;5
3232,3,50,4,10;5
3233,3,66,4,10;5
3234,6,63,9,1;4
3235,12,61,4,1;0
3236,12,68,4,1;0
3237,3,67,4,10;5
3238,6,68,9,1;4
3239,12,65,4,1;0
3240,1,62,0,1;5
3241,1,75,0,1;5
3242,9,77,9,10;0
3243,6,71,9,1;4
3244,12,78,4,1;0
3245,12,52,4,1;0
3246,14,51,0,5;7
3247,3,74,4,10;5
3248,1,56,0,1;5
3249,6,70,9,1;4
3250,9,79,9,10;0
3251,6,67,9,1;4
3252,12,67,4,1;0
3253,1,53,0,1;5
3254,6,54,9,1;4
3255,6,56,9,1;4
3256,1,69,0,1;5
3257,9,73,9,10;0
3258,14,73,0,5;7
3259,9,61,9,10;0
3260,14,62,0,5;7
3261,1,75,0,1;5
3262,3,63,4,10;5
3263,1,66,0,1;5
3264,14,51,0,5;7
3265,9,64,9,10;0
3266,14,73,0,5;7
3267,6,54,9,1;4
3268,14,62,0,5;7
3269,12,79,4,1;0
3270,6,78,9,1;4
3271,14,73,0,5;7
3272,9,66,9,10;0
3273,6,72,9,1;4
3274,3,78,4,10;5
3275,1,58,0,1;5
3276,12,76,4,1;0
3277,9,53,9,10;0
3278,14,63,0,5;7
3279,12,65,4,1;0
3280,6,77,9,1;4
3281,6,52,9,1;4
3282,9,54,9,10;0
3283,3,62,4,10;5
3284,14,62,0,5;7
3285,12,51,4,1;0
3286,1,63,0,1;5
3287,12,65,4,1;0
3288,14,59,0,5;7
3289,1,54,0,1;5
3290,6,52,9,1;4
3291,3,80,4,10;5
3292,14,74,0,5;7
3293,1,69,0,1;5
3294,3,52,4,10;5
3295,6,59,9,1;4
3296,6,80,9,1;4
3297,3,79,4,10;5
3298,3,65,4,10;5
3299,1,79,0,1;5
3300,6,71,9,1;4
3301,14,65,0,5;7
3302,3,69,4,10;5
3303,9,57,9,10;0
3304,6,58,9,1;4
3305,12,56,4,1;0
3306,6,64,9,1;4
3307,12,71,4,1;0
3308,14,68,0,5;7
3309,6,68,9,1;4
3310,3,52,4,10;5
3311,12,60,4,1;0
3312,3,58,4,10;5
3313,6,54,9,1;4
3314,12,53,4,1;0
3315,12,50,4,1;0
3316,9,71,9,10;0
3317,9,67,9,10;0
3318,1,67,0,1;5
3319,14,65,0,5;7
3320,6,77,9,1;4
3321,12,72,4,1;0
3322,3,78,4,10;5
3323,14,70,0,5;7
3324,1,69,0,1;5
3325,9,69,9,10;0
3326,3,60,4,10;5
3327,14,50,0,5;7
3328,6,71,9,1;4
3329,1,51,0,1;5
3330,3,79,4,10;5
3331,1,76,0,1;5
3332,6,52,9,1;4
3333,14,66,0,5;7
3334,6,72,9,1;4
3335,9,79,9,10;0
3336,9,72,9,10;0
3337,14,60,0,5;7
3338,1,51,0,1;5
3339,12,64,4,1;0
3340,9,73,9,10;0
3341,6,65,9,1;4
3342,14,79,0,5;7
3343,9,70,9,10;0
3344,6,63,9,1;4
3345,12,56,4,1;0
3346,1,58,0,1;5
3347,1,63,0,1;5
3348,14,62,0,5;7
3349,6,79,9,1;4
3350,12,56,4,1;0
3351,6,50,9,1;4
3352,9,74,9,10;0
3353,14,76,0,5;7
3354,1,56,0,1;5
3355,12,50,4,1;0
3356,1,58,0,1;5
3357,1,73,0,1;5
3358,6,62,9,1;4
3359,14,54,0,5;7
3360,12,80,4,1;0
3361,12,60,4,1;0
3362,6,69,9,1;4
3363,1,62,0,1;5
3364,9,55,9,10;0
3365,14,77,0,5;7
3366,1,65,0,1;5
3367,12,56,4,1;0
3368,1,71,0,1;5
3369,1,66,0,1;5
3370,9,55,9,10;0
3371,12,55,4,1;0
3372,12,63,4,1;0
3373,1,65,0,1;5
3374,12,79,4,1;0
3375,9,71,9,10;0
3376,1,57,0,1;5
3377,6,61,9,1;4
3378,14,55,0,5;7
3379,14,62,0,5;7
3380,12,53,4,1;0
3381,9,70,9,10;0
3382,6,55,9,1;4
3383,6,79,9,1;4
3384,6,60,9,1;4
3385,6,60,9,1;4
3386,1,57,0,1;5
3387,3,69,4,10;5
3388,9,68,9,10;0
3389,3,58,4,10;5
3390,3,77,4,10;5
3391,9,78,9,10;0
3392,1,51,0,1;5
3393,6,73,9,1;4
3394,12,61,4,1;0
3395,3,74,4,10;5
3396,14,70,0,5;7
3397,14,56,0,5;7
3398,6,77,9,1;4
3399,1,76,0,1;5
3400,3,57,4,10;5
3401,9,66,9,10;0
3402,1,71,0,1;5
3403,1,63,0,1;5
3404,14,68,0,5;7
3405,12,68,4,1;0
3406,1,72,0,1;5
3407,9,74,9,10;0
3408,12,65,4,1;0
3409,14,78,0,5;7
3410,14,64,0,5;7
3411,6,52,9,1;4
3412,1,77,0,1;5
3413,6,60,9,1;4
3414,14,50,0,5;7
3415,9,51,9,10;0
3416,9,56,9,10;0
3417,9,57,9,10;0
3418,6,57,9,1;4
3419,6,72,9,1;4
3420,14,60,0,5;7
3421,9,51,9,10;0
3422,12,51,4,1;0
3423,1,72,0,1;5
3424,9,61,9,10;0
3425,6,75,9,1;4
3426,1,66,0,1;5
3427,3,67,4,10;5
3428,6,61,9,1;4
3429,3,69,4,10;5
3430,9,65,9,10;0
3431,3,58,4,10;5
3432,14,73,0,5;7
3433,12,64,4,1;0
3434,3,61,4,10;5
3435,6,71,9,1;4
3436,9,70,9,10;0
3437,12,79,4,1;0
3438,1,51,0,1;5
3439,6,62,9,1;4
3440,12,62,4,1;0
3441,3,69,4,10;5
3442,3,62,4,10;5
3443,6,61,9,1;4
3444,14,62,0,5;7
3445,6,54,9,1;4
3446,9,64,9,10;0
3447,12,69,4,1;0
3448,6,63,9,1;4
3449,9,77,9,10;0
3450,14,68,0,5;7
3451,3,58,4,10;5
3452,12,56,4,1;0
3453,9,52,9,10;0
3454,12,75,4,1;0
3455,14,75,0,5;7
3456,1,53,0,1;5
3457,1,63,0,1;5
3458,9,75,9,10;0
3459,1,79,0,1;5
3460,9,79,9,10;0
3461,6,63,9,1;4
3462,9,57,9,10;0
3463,14,58,0,5;7
3464,1,66,0,1;5
3465,1,61,0,1;5
3466,12,62,4,1;0
3467,3,63,4,10;5
3468,9,65,9,10;0
3469,12,71,4,1;0
3470,12,54,4,1;0
3471,12,55,4,1;0
3472,9,57,9,10;0
3473,3,56,4,10;5
3474,6,55,9,1;4
3475,6,66,9,1;4
3476,3,76,4,10;5
3477,1,72,0,1;5
3478,3,55,4,10;5
3479,3,50,4,10;5
3480,3,60,4,10;5
3481,1,50,0,1;5
3482,3,58,4,10;5
3483,9,72,9,10;0
3484,9,72,9,10;0
3485,3,78,4,10;5
3486,1,50,0,1;5
3487,9,74,9,10;0
3488,6,78,9,1;4
3489,6,58,9,1;4
3490,12,63,4,1;0
3491,1,51,0,1;5
3492,1,71,0,1;5
3493,14,79,0,5;7
3494,9,67,9,10;0
3495,3,55,4,10;5
3496,14,79,0,5;7
3497,1,51,0,1;5
3498,3,53,4,10;5
3499,1,63,0,1;5
3500,1,79,0,1;5
3501,1,70,0,1;5
3502,3,54,4,10;5
3503,12,63,4,1;0
3504,12,50,4,1;0
3505,3,59,4,10;5
3506,6,72,9,1;4
3507,14,50,0,5;7
3508,1,55,0,1;5
3509,14,74,0,5;7
3510,1,51,0,1;5
3511,12,73,4,1;0
3512,3,60,4,10;5
3513,1,65,0,1;5
3514,12,63,4,1;0
3515,6,65,9,1;4
3516,9,58,9,10;0
3517,9,63,9,10;0
3518,9,69,9,10;0
3519,14,50,0,5;7
3520,14,54,0,5;7
3521,12,66,4,1;0
3522,1,55,0,1;5
3523,6,65,9,1;4
3524,1,69,0,1;5
3525,9,73,9,10;0
3526,9,73,9,10;0
3527,12,66,4,1;0
3528,6,61,9,1;4
3529,12,55,4,1;0
3530,14,70,0,5;7
3531,9,66,9,10;0
3532,3,71,4,10;5
3533,12,76,4,1;0
3534,6,74,9,1;4
3535,14,75,0,5;7
3536,14,56,0,5;7
3537,6,79,9,1;4
3538,6,62,9,1;4
3539,9,69,9,10;0
3540,6,64,9,1;4
3541,3,64,4,10;5
3542,1,62,0,1;5
3543,1,66,0,1;5
3544,14,53,0,5;7
3545,1,74,0,1;5
3546,12,78,4,1;0
3547,14,67,0,5;7
3548,1,75,0,1;5
3549,1,59,0,1;5
3550,14,51,0,5;7
3551,9,51,9,10;0
3552,9,62,9,10;0
3553,9,57,9,10;0
3554,1,71,0,1;5
3555,1,51,0,1;5
3556,9,79,9,10;0
3557,6,60,9,1;4
3558,14,56,0,5;7
3559,6,54,9,1;4
3560,1,78,0,1;5
3561,9,74,9,10;0
3562,6,58,9,1;4
3563,14,68,0,5;7
3564,14,64,0,5;7
3565,1,71,0,1;5
3566,14,53,0,5;7
3567,12,75,4,1;0
3568,9,66,9,10;0
3569,12,79,4,1;0
3570,12,69,4,1;0
3571,9,54,9,10;0
3572,9,75,9,10;0
3573,6,50,9,1;4
3574,3,50,4,10;5
3575,12,53,4,1;0
3576,1,70,0,1;5
3577,12,79,4,1;0
3578,1,79,0,1;5
3579,9,66,9,10;0
3580,12,57,4,1;0
3581,3,59,4,10;5
3582,9,63,9,10;0
3583,3,56,4,10;5
3584,6,68,9,1;4
3585,14,63,0,5;7
3586,14,66,0,5;7
3587,1,57,0,1;5
3588,12,66,4,1;0
3589,14,51,0,5;7
3590,14,51,0,5;7
3591,12,65,4,1;0
3592,12,57,4,1;0
3593,12,77,4,1;0
3594,9,76,9,10;0
3595,3,54,4,10;5
3596,12,62,4,1;0
3597,1,72,0,1;5
3598,1,80,0,1;5
3599,9,61,9,10;0
3600,9,51,9,10;0
3601,1,59,0,1;5
3602,12,77,4,1;0
3603,6,59,9,1;4
3604,12,51,4,1;0
3605,1,51,0,1;5
3606,12,57,4,1;0
3607,3,65,4,10;5
3608,1,57,0,1;5
3609,1,59,0,1;5
3610,12,50,4,1;0
3611,6,57,9,1;4
3612,3,55,4,10;5
3613,6,65,9,1;4
3614,6,66,9,1;4
3615,3,54,4,10;5
3616,14,53,0,5;7
3617,14,71,0,5;7
3618,1,73,0,1;5
3619,6,52,9,1;4
3620,1,75,0,1;5
3621,6,77,9,1;4
3622,1,63,0,1;5
3623,14,70,0,5;7
3624,6,70,9,1;4
3625,1,64,0,1;5
3626,1,76,0,1;5
3627,3,59,4,10;5
3628,14,67,0,5;7
3629,6,62,9,1;4
3630,9,76,9,10;0
3631,6,68,9,1;4
3632,1,74,0,1;5
3633,1,71,0,1;5
3634,1,75,0,1;5
3635,6,62,9,1;4
3636,3,68,4,10;5
3637,3,50,4,10;5
3638,9,53,9,10;0
3639,1,70,0,1;5
3640,3,78,4,10;5
3641,9,65,9,10;0
3642,6,70,9,1;4
3643,12,72,4,1;0
3644,14,75,0,5;7
3645,12,61,4,1;0
3646,1,64,0,1;5
3647,6,78,9,1;4
3648,3,66,4,10;5
3649,9,78,9,10;0
3650,6,62,9,1;4
3651,12,72,4,1;0
3652,6,55,9,1;4
3653,3,80,4,10;5
3654,14,73,0,5;7
3655,1,71,0,1;5
3656,1,53,0,1;5
3657,14,64,0,5;7
3658,6,51,9,1;4
3659,9,56,9,10;0
3660,14,69,0,5;7
3661,6,56,9,1;4
3662,1,57,0,1;5
3663,1,58,0,1;5
3664,3,73,4,10;5
3665,9,77,9,10;0
3666,12,70,4,1;0
3667,14,80,0,5;7
3668,3,76,4,10;5
3669,9,78,9,10;0
3670,12,71,4,1;0
3671,12,53,4,1;0
3672,12,65,4,1;0
3673,12,50,4,1;0
3674,1,64,0,1;5
3675,1,58,0,1;5
3676,3,57,4,10;5
3677,1,54,0,1;5
3678,9,54,9,10;0
3679,14,59,0,5;7
3680,14,64,0,5;7
3681,9,59,9,10;0
3682,14,60,0,5;7
3683,14,63,0,5;7
3684,1,68,0,1;5
3685,6,66,9,1;4
3686,3,58,4,10;5
3687,1,53,0,1;5
3688,6,65,9,1;4
3689,3,54,4,10;5
3690,12,52,4,1;0
3691,12,50,4,1;0
3692,9,80,9,10;0
3693,3,51,4,10;5
3694,9,65,9,10;0
3695,6,65,9,1;4
3696,14,66,0,5;7
3697,6,78,9,1;4
3698,12,54,4,1;0
3699,14,67,0,5;7
3700,12,77,4,1;0
3701,12,50,4,1;0
3702,14,70,0,5;7
3703,1,62,0,1;5
3704,1,75,0,1;5
3705,14,52,0,5;7
3706,12,76,4,1;0
3707,12,53,4,1;0
3708,6,58,9,1;4
3709,14,51,0,5;7
3710,9,73,9,10;0
3711,12,56,4,1;0
3712,9,71,9,10;0
3713,3,75,4,10;5
3714,1,58,0,1;5
3715,3,77,4,10;5
3716,3,78,4,10;5
3717,14,52,0,5;7
3718,12,66,4,1;0
3719,14,66,0,5;7
3720,12,77,4,1;0
3721,1,51,0,1;5
3722,12,68,4,1;0
3723,6,64,9,1;4
3724,12,56,4,1;0
3725,9,67,9,10;0
3726,1,62,0,1;5
3727,3,57,4,10;5
3728,9,70,9,10;0
3729,3,80,4,10;5
3730,6,66,9,1;4
3731,12,70,4,1;0
3732,1,51,0,1;5
3733,3,80,4,10;5
3734,3,64,4,10;5
3735,12,69,4,1;0
3736,3,58,4,10;5
3737,9,62,9,10;0
3738,12,60,4,1;0
3739,12,73,4,1;0
3740,12,67,4,1;0
3741,12,67,4,1;0
3742,1,61,0,1;5
3743,12,70,4,1;0
3744,14,54,0,5;7
3745,1,64,0,1;5
3746,6,67,9,1;4
3747,1,53,0,1;5
3748,12,72,4,1;0
3749,14,52,0,5;7
3750,14,53,0,5;7
3751,6,62,9,1;4
3752,1,62,0,1;5
3753,6,74,9,1;4
3754,3,80,4,10;5
3755,6,58,9,1;4
3756,12,74,4,1;0
3757,6,64,9,1;4
3758,14,66,0,5;7
3759,3,75,4,10;5
3760,1,71,0,1;5
3761,6,50,9,1;4
3762,9,67,9,10;0
3763,9,75,9,10;0
3764,1,71,0,1;5
3765,3,77,4,10;5
3766,9,69,9,10;0
3767,9,57,9,10;0
3768,3,56,4,10;5
3769,9,75,9,10;0
3770,14,78,0,5;7
3771,3,71,4,10;5
3772,14,78,0,5;7
3773,12,77,4,1;0
3774,14,77,0,5;7
3775,12,60,4,1;0
3776,3,72,4,10;5
3777,12,74,4,1;0
3778,6,72,9,1;4
3779,3,55,4,10;5
3780,9,64,9,10;0
3781,9,78,9,10;0
3782,14,53,0,5;7
3783,12,59,4,1;0
3784,3,68,4,10;5
3785,1,79,0,1;5
3786,14,71,0,5;7
3787,6,71,9,1;4
3788,6,57,9,1;4
3789,9,69,9,10;0
3790,3,76,4,10;5
3791,6,65,9,1;4
3792,3,57,4,10;5
3793,1,72,0,1;5
3794,14,55,0,5;7
3795,6,50,9,1;4
3796,1,55,0,1;5
3797,1,69,0,1;5
3798,1,68,0,1;5
3799,9,80,9,10;0
3800,9,52,9,10;0
3801,3,63,4,10;5
3802,3,61,4,10;5
3803,6,62,9,1;4
3804,9,53,9,10;0
3805,14,77,0,5;7
3806,9,67,9,10;0
3807,14,78,0,5;7
3808,3,53,4,10;5
3809,9,76,9,10;0
3810,9,63,9,10;0
3811,1,50,0,1;5
3812,9,56,9,10;0
3813,3,66,4,10;5
3814,12,57,4,1;0
3815,6,59,9,1;4
3816,14,78,0,5;7
3817,14,56,0,5;7
3818,6,68,9,1;4
3819,14,79,0,5;7
3820,14,64,0,5;7
3821,6,50,9,1;4
3822,3,51,4,10;5
3823,14,67,0,5;7
3824,9,58,9,10;0
3825,6,75,9,1;4
3826,14,52,0,5;7
3827,12,57,4,1;0
3828,12,73,4,1;0
3829,9,76,9,10;0
3830,12,72,4,1;0
3831,6,57,9,1;4
3832,6,63,9,1;4
3833,14,65,0,5;7
3834,3,59,4,10;5
3835,12,64,4,1;0
3836,14,52,0,5;7
3837,12,66,4,1;0
3838,14,73,0,5;7
3839,14,61,0,5;7
3840,14,59,0,5;7
3841,3,63,4,10;5
3842,12,63,4,1;0
3843,1,63,0,1;5
3844,3,75,4,10;5
3845,14,66,0,5;7
3846,12,58,4,1;0
3847,1,73,0,1;5
3848,1,79,0,1;5
3849,12,70,4,1;0
3850,1,52,0,1;5
3851,9,78,9,10;0
3852,6,58,9,1;4
3853,3,79,4,10;5
3854,12,50,4,1;0
3855,3,54,4,10;5
3856,6,77,9,1;4
3857,6,62,9,1;4
3858,3,65,4,10;5
3859,1,73,0,1;5
3860,6,58,9,1;4
3861,1,72,0,1;5
3862,3,63,4,10;5
3863,9,53,9,10;0
3864,9,62,9,10;0
3865,3,53,4,10;5
3866,12,53,4,1;0
3867,12,72,4,1;0
3868,6,59,9,1;4
3869,6,62,9,1;4
3870,3,59,4,10;5
3871,3,65,4,10;5
3872,1,73,0,1;5
3873,14,60,0,5;7
3874,9,77,9,10;0
3875,3,60,4,10;5
3876,6,53,9,1;4
3877,3,54,4,10;5
3878,6,54,9,1;4
3879,14,66,0,5;7
3880,3,80,4,10;5
3881,3,65,4,10;5
3882,14,71,0,5;7
3883,1,63,0,1;5
3884,12,69,4,1;0
3885,1,72,0,1;5
3886,12,79,4,1;0
3887,14,50,0,5;7
3888,14,52,0,5;7
3889,6,52,9,1;4
3890,3,62,4,10;5
3891,6,61,9,1;4
3892,1,73,0,1;5
3893,3,58,4,10;5
3894,14,51,0,5;7
3895,1,80,0,1;5
3896,14,65,0,5;7
3897,1,51,0,1;5
3898,6,65,9,1;4
3899,12,61,4,1;0
3900,12,57,4,1;0
3901,3,71,4,10;5
3902,9,53,9,10;0
3903,9,75,9,10;0
3904,12,63,4,1;0
3905,12,73,4,1;0
3906,1,54,0,1;5
3907,3,53,4,10;5
3908,14,53,0,5;7
3909,1,59,0,1;5
3910,12,67,4,1;0
3911,14,71,0,5;7
3912,9,77,9,10;0
3913,3,68,4,10;5
3914,12,75,4,1;0
3915,9,51,9,10;0
3916,12,65,4,1;0
3917,14,74,0,5;7
3918,9,50,9,10;0
3919,6,60,9,1;4
3920,12,50,4,1;0
3921,6,64,9,1;4
3922,12,66,4,1;0
3923,3,52,4,10;5
3924,14,61,0,5;7
3925,6,51,9,1;4
3926,3,54,4,10;5
3927,3,65,4,10;5
3928,14,76,0,5;7
3929,3,53,4,10;5
3930,12,70,4,1;0
3931,14,72,0,5;7
3932,12,55,4,1;0
3933,14,53,0,5;7
3934,12,71,4,1;0
3935,3,69,4,10;5
3936,3,59,4,10;5
3937,6,74,9,1;4
3938,12,57,4,1;0
3939,12,63,4,1;0
3940,9,80,9,10;0
3941,6,58,9,1;4
3942,3,50,4,10;5
3943,1,64,0,1;5
3944,14,66,0,5;7
3945,12,50,4,1;0
3946,9,53,9,10;0
3947,6,72,9,1;4
3948,1,65,0,1;5
3949,1,61,0,1;5
3950,12,61,4,1;0
3951,1,57,0,1;5
3952,12,72,4,1;0
3953,6,62,9,1;4
3954,9,72,9,10;0
3955,9,78,9,10;0
3956,1,52,0,1;5
3957,3,66,4,10;5
3958,1,61,0,1;5
3959,3,79,4,10;5
3960,1,57,0,1;5
3961,6,70,9,1;4
3962,9,51,9,10;0
3963,12,55,4,1;0
3964,9,71,9,10;0
3965,6,79,9,1;4
3966,3,54,4,10;5
3967,6,62,9,1;4
3968,14,59,0,5;7
3969,1,67,0,1;5
3970,12,50,4,1;0
3971,6,69,9,1;4
3972,9,59,9,10;0
3973,12,61,4,1;0
3974,12,63,4,1;0
3975,12,70,4,1;0
3976,14,68,0,5;7
3977,6,71,9,1;4
3978,9,54,9,10;0
3979,3,77,4,10;5
3980,1,71,0,1;5
3981,14,68,0,5;7
3982,9,59,9,10;0
3983,1,70,0,1;5
3984,3,52,4,10;5
3985,14,51,0,5;7
3986,9,63,9,10;0
3987,3,74,4,10;5
3988,12,68,4,1;0
3989,9,71,9,10;0
3990,3,50,4,10;5
3991,14,62,0,5;7
3992,6,52,9,1;4
3993,12,76,4,1;0
3994,14,79,0,5;7
3995,3,61,4,10;5
3996,1,70,0,1;5
3997,1,60,0,1;5
3998,6,59,9,1;4
3999,3,72,4,10;5
4000,1,74,0,1;5
4001,14,67,0,5;7
4002,6,71,9,1;4
4003,9,78,9,10;0
4004,3,66,4,10;5
4005,9,62,9,10;0
4006,3,60,4,10;5
4007,6,76,9,1;4
4008,6,75,9,1;4
4009,9,57,9,10;0
4010,6,50,9,1;4
4011,1,80,0,1;5
4012,14,79,0,5;7
4013,3,51,4,10;5
4014,12,64,4,1;0
4015,14,52,0,5;7
4016,9,52,9,10;0
4017,3,67,4,10;5
4018,12,80,4,1;0
4019,1,65,0,1;5
